accx, accy, accz, magx, magy, magz, roll, pitch, yaw
-0.234850, -0.002135, 0.975146, -0.309120, 0.282380, -0.660100, -0.002189, 0.236334, -0.896024
-0.236314, 0.002440, 0.975390, -0.309120, 0.282380, -0.660100, 0.002502, 0.237696, -0.896024
-0.240462, 0.010370, 0.976427, -0.303100, 0.273980, -0.671440, 0.010620, 0.241449, -0.901266
-0.239913, 0.008052, 0.969961, -0.301840, 0.279020, -0.660100, 0.008301, 0.242468, -0.890114
-0.246440, 0.001098, 0.968436, -0.301280, 0.274540, -0.659120, 0.001134, 0.249183, -0.897253
-0.245586, 0.003477, 0.977159, -0.305060, 0.278040, -0.656880, 0.003558, 0.246225, -0.897153
-0.247721, 0.007991, 0.973926, -0.305060, 0.278040, -0.656880, 0.008205, 0.249063, -0.897153
-0.246989, 0.015677, 0.967216, -0.304360, 0.279160, -0.658280, 0.016207, 0.249986, -0.894007
-0.254248, -0.000427, 0.980087, -0.306460, 0.276360, -0.657720, -0.000436, 0.253819, -0.902448
-0.258457, 0.008235, 0.969290, -0.305200, 0.280700, -0.653940, 0.008496, 0.260574, -0.892640
-0.261019, 0.007991, 0.971547, -0.295540, 0.281400, -0.654780, 0.008225, 0.262457, -0.875352
-0.262056, 0.012871, 0.972096, -0.295540, 0.281400, -0.654780, 0.013240, 0.263297, -0.875352
-0.265655, 0.007686, 0.966240, -0.302400, 0.279580, -0.657720, 0.007954, 0.268299, -0.890039
-0.251137, 0.025071, 0.970693, -0.303660, 0.283780, -0.654780, 0.025822, 0.253087, -0.884677
-0.284992, -0.015921, 0.978928, -0.302680, 0.286020, -0.658420, -0.016262, 0.283261, -0.879140
-0.273402, 0.012932, 0.968802, -0.307300, 0.289100, -0.654500, 0.013348, 0.275030, -0.881355
-0.268827, 0.017812, 0.975512, -0.307300, 0.289100, -0.654500, 0.018257, 0.268858, -0.881355
-0.281576, 0.018422, 0.971608, -0.299460, 0.289240, -0.651140, 0.018958, 0.282029, -0.868207
-0.286395, 0.023851, 0.972279, -0.309400, 0.283080, -0.649740, 0.024526, 0.286377, -0.895242
-0.298168, 0.017019, 0.954406, -0.305620, 0.295540, -0.645680, 0.017830, 0.302760, -0.867614
-0.308660, 0.010736, 0.964654, -0.309120, 0.297220, -0.649040, 0.011129, 0.309657, -0.870471
-0.297985, 0.008357, 0.955992, -0.310660, 0.297220, -0.646660, 0.008741, 0.302147, -0.872954
-0.310734, 0.004697, 0.960750, -0.310660, 0.297220, -0.646660, 0.004889, 0.312806, -0.872954
-0.309514, 0.018178, 0.950380, -0.307160, 0.301280, -0.642040, 0.019125, 0.314788, -0.860512
-0.318786, 0.025010, 0.940193, -0.310800, 0.300860, -0.642180, 0.026595, 0.326792, -0.867097
